Package,Version,License(s)
aws-java-sdk-for-finspace-public-api,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
json-schema-validator,"4.0.0, 2.2.10",Apache License 2.0
go-logr-stdr,v1.2.2,Apache License 2.0
github-com-redis-go-redis,v9.7.0,"BSD 2-clause ""Simplified"" License"
aws-java-sdk-for-amazon-simpledb,"1.11.892, 1.12.770, 1.12.124, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-route53-recovery-readiness,"1.12.124, 1.12.793, 1.12.770",Apache License 2.0
mockito_,"v2.28.2, 2.27.0",MIT License
aws-java-sdk-for-amazon-pinpoint-email,"1.12.124, 1.12.793, 1.11.892, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-swf,"1.12.124, 1.12.793, 1.11.892, 1.12.770",Apache License 2.0
aws-java-sdk-for-aws-ec2-instance-connect,"1.12.124, 1.12.770, 1.12.793, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-support-app,"1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-aws-iot-greengrass-v2,"1.12.770, 1.12.793, 1.12.124",Apache License 2.0
jakarta-activation,"1.1.1, 1.1ea, 1.1, 2.0.0","(Sun GPL With Classpath Exception v2.0 OR Common Development and Distribution License 1.0),Common Development and Distribution License 1.0,Common Development and Distribution License 1.1,BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-aws-iot-jobs-data-plane,"1.11.892, 1.12.793, 1.12.124, 1.12.770",Apache License 2.0
github-com-moby-locker,1.0.1,Apache License 2.0
netty-transport-native-io_uring,4.2.7.Final,Apache License 2.0
