Package, Version, License(s)
libgcc1, 1:8.3.0-6, Artistic;BSD;GFDL-1;GPL;GPL-2;GPL-3;LGPL;zlib
libgcrypt20, 1.8.4-5, BSD;GPL;GPL-2;LGPL;MIT;public domain
libgd3, 2.2.5-5.2, BSD;BSD-3-clause;GAP~configure;GAP~Makefile.in;GD;GPL;GPL-2;GPL-2+;GPL-2+ with Autoconf exception;HPND;MIT;WEBP;XFIG
libgdbm-compat4, 1.18.1-4, GFDL-NIV-1.3+;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+
libgdbm6, 1.18.1-4, GFDL-NIV-1.3+;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+
libgeoip1, 1.6.12-1, ISC;LGPL-2;LGPL-2.1+
libglib2.0-0, 2.58.3-2+deb10u2, Apache-2;Apache-2.0;Expat;GPL;GPL-2+;LGPL
libgmp10, 2:6.1.2+dfsg-4, GPL;GPL-2;GPL-3;LGPL-3
libgnutls30, 3.6.7-4+deb10u2, Apache-2;CC0 license;GFDL-1;GPL;GPL-3);GPLv3+;LGPL;LGPL-3;LGPLv3+_or_GPLv2+;MIT;The main library is licensed under GNU Lesser;The MIT License (MIT)
libgpg-error0, 1.35-1, BSD;BSD-3-clause;g10-permissive;GPL;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+
libgpm2, 1.20.7-5, GPL;GPL-2;GPL-2.0+;GPL-3;GPL-3.0+
libgssapi-krb5-2, 1.17-3, BSD;GPL;GPL-2;MIT
libhavege1, 1.9.1-7, GPL;GPL-3;GPL-3+;permissive-mconf;permissive-nist;public domain;public-domain
libhiredis0.14, 0.14.0-3, BSD;BSD-3-Clause
libhogweed4, 3.4.1-1, GAP;GPL;GPL-2;GPL-2+;GPL-2+ with Autoconf exception;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;other;public domain;public-domain
libi2c0, 4.1-1, GPL;GPL-2;LGPL-2
libicu63, 63.1-6, BSD
libidn11, 1.33-2.2, GAP;GFDL-1;GFDL-1.3+;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+
libidn2-0, 2.0.5-1+deb10u1, GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL-3;LGPL-3+;Unicode
libip4tc0, 1.8.2-3-cl4u1, Artistic-2;custom;GPL;GPL-2;GPL-2+
libip6tc0, 1.8.2-3-cl4u1, Artistic-2;custom;GPL;GPL-2;GPL-2+
libiptc0, 1.8.2-3-cl4u1, Artistic-2;custom;GPL;GPL-2;GPL-2+
libirs-export161, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libirs161, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libisc-export1100, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libisc1100, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libisccc161, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libisccfg-export163, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libisccfg163, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libjbig0, 2.1-3.1+b2, GPL;GPL-2;GPL-2+
libjpeg62-turbo, 1:1.5.2-2+b1, BSD;BSD-3;BSD-BY-LC-NE;Expat;MIT
libjs-jquery, 3.3.1~dfsg-3, BSD;BSD-3-clause;GPL;GPL-2;GPL-2>;MIT
libjs-underscore, 1.9.1~dfsg-1, BSD;BSD-3-clause;Expat;GPL;GPL-3;GPL-3+
libjson-c3, 0.12.1+ds-2, Expat
libk5crypto3, 1.17-3, BSD;GPL;GPL-2;MIT
libkeyutils1, 1.6-6, GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+
libklibc, 2.0.6-1, BSD;GPL;GPL-2
libkmod2, 26-1, GPL;GPL-2;LGPL-2
libkrb5-3, 1.17-3, BSD;GPL;GPL-2;MIT
libkrb5support0, 1.17-3, BSD;GPL;GPL-2;MIT
libksba8, 1.3.5-2, GPL;GPL-3
libldap-2.4-2, 2.4.47+dfsg-3+deb10u1, ISC;MIT
libldap-common, 2.4.47+dfsg-3+deb10u1, ISC;MIT
liblmdb0, 0.9.22-1, OpenLDAP-2.8
liblocale-gettext-perl, 1.07-3+b4, Artistic;GPL;GPL-1;GPL-1+
liblognorm5, 2.0.5-1, Apache-2;Apache-2.0;LGPL-2;LGPL-2.1+
liblttng-ust-ctl4, 2.10.3-1, BSD;BSD-2-clause;BSD-3-clause;Expat;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL-2;LGPL-2.1;LGPL-2.1+;MIT;Permissive
liblttng-ust0, 2.10.3-1, BSD;BSD-2-clause;BSD-3-clause;Expat;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL-2;LGPL-2.1;LGPL-2.1+;MIT;Permissive
libluajit-5.1-2, 2.1.0~beta3+dfsg-5.1, MIT;MIT/X;PD;public domain
libluajit-5.1-common, 2.1.0~beta3+dfsg-5.1, MIT;MIT/X;PD;public domain
liblvm2cmd2.03, 2.03.02-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
liblwres161, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
liblz4-1, 1.8.3-1, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+
liblzma5, 5.2.4-1, Autoconf;config-h;GPL;GPL-2;GPL-2+;GPL-3;LGPL-2;LGPL-2.1+;noderivs;none;PD;PD-debian;permissive-fsf;permissive-nowarranty;probably-PD;public domain
liblzo2-2, 2.10-0.1, GPL;GPL-2
libmagic-mgc, 1:5.35-4+deb10u1, BSD;BSD-2-Clause-alike;BSD-2-Clause-netbsd;BSD-2-Clause-regents;MIT;MIT-Old-Style-with-legal-disclaimer-2;public domain;public-domain
libmagic1, 1:5.35-4+deb10u1, BSD;BSD-2-Clause-alike;BSD-2-Clause-netbsd;BSD-2-Clause-regents;MIT;MIT-Old-Style-with-legal-disclaimer-2;public domain;public-domain
